time,condition_type,condition_value,area_bin,frequency
day4,cn_ratio,6,1250,0.052356518
day4,cn_ratio,6,1350,0.062903839
day4,cn_ratio,6,1450,0.071835804
day4,cn_ratio,6,1550,0.086801596
day4,cn_ratio,6,1650,0.088987077
day4,cn_ratio,6,1750,0.090982516
day4,cn_ratio,6,1850,0.085803877
day4,cn_ratio,6,1950,0.075921703
day4,cn_ratio,6,2050,0.059673128
day4,cn_ratio,6,2150,0.048175599
day4,cn_ratio,6,2250,0.033874952
day4,cn_ratio,6,2350,0.026130749
day4,cn_ratio,6,2450,0.019336754
day4,cn_ratio,6,2550,0.015488407
day4,cn_ratio,6,2650,0.009312049
day4,cn_ratio,6,2750,0.006081338
day4,cn_ratio,6,2850,0.004513493
day4,cn_ratio,6,2950,0.003325732
day4,cn_ratio,6,3050,0.002613075
day4,cn_ratio,6,3150,0.002803117
day4,cn_ratio,6,3250,0.001900418
day4,cn_ratio,6,3350,0.000950209
day4,cn_ratio,6,3450,0.001235272
day5,cn_ratio,1,550,0.012178855
day5,cn_ratio,1,650,0.012584817
day5,cn_ratio,1,750,0.014672621
day5,cn_ratio,1,850,0.01925419
day5,cn_ratio,1,950,0.021457983
day5,cn_ratio,1,1050,0.028243345
day5,cn_ratio,1,1150,0.035550658
day5,cn_ratio,1,1250,0.048599432
day5,cn_ratio,1,1350,0.068491562
day5,cn_ratio,1,1450,0.083802123
day5,cn_ratio,1,1550,0.09638694
day5,cn_ratio,1,1650,0.102824335
day5,cn_ratio,1,1750,0.098996694
day5,cn_ratio,1,1850,0.091863365
day5,cn_ratio,1,1950,0.075508902
day5,cn_ratio,1,2050,0.058922461
day5,cn_ratio,1,2150,0.043379922
day5,cn_ratio,1,2250,0.031027083
day5,cn_ratio,1,2350,0.020414081
day5,cn_ratio,1,2450,0.013164763
day5,cn_ratio,1,2550,0.007539291
day5,cn_ratio,1,2650,0.005799455
day5,cn_ratio,1,2750,0.003595662
day5,cn_ratio,1,2850,0.002203793
day5,cn_ratio,1,2950,0.001043902
day5,cn_ratio,1,3050,0.001159891
day5,cn_ratio,1,3150,0.000695935
day5,cn_ratio,1,3250,0.000289973
day5,cn_ratio,1,3350,5.80E-05
day5,cn_ratio,1,3450,0.000289973
day5,cn_ratio,2,550,0.002660361
day5,cn_ratio,2,650,0.002660361
day5,cn_ratio,2,750,0.005172923
day5,cn_ratio,2,850,0.010715341
day5,cn_ratio,2,950,0.024830033
day5,cn_ratio,2,1050,0.047221401
day5,cn_ratio,2,1150,0.077372155
day5,cn_ratio,2,1250,0.097029264
day5,cn_ratio,2,1350,0.105675436
day5,cn_ratio,2,1450,0.107892403
day5,cn_ratio,2,1550,0.094886196
day5,cn_ratio,2,1650,0.078037245
day5,cn_ratio,2,1750,0.072199231
day5,cn_ratio,2,1850,0.065326633
day5,cn_ratio,2,1950,0.058897428
day5,cn_ratio,2,2050,0.047664795
day5,cn_ratio,2,2150,0.038575229
day5,cn_ratio,2,2250,0.025790718
day5,cn_ratio,2,2350,0.01551877
day5,cn_ratio,2,2450,0.009089565
day5,cn_ratio,2,2550,0.004951227
day5,cn_ratio,2,2650,0.003251552
day5,cn_ratio,2,2750,0.001625776
day5,cn_ratio,2,2850,0.001034585
day5,cn_ratio,2,2950,0.00066509
day5,cn_ratio,2,3050,0.000738989
day5,cn_ratio,2,3150,0.000221697
day5,cn_ratio,2,3250,7.39E-05
day5,cn_ratio,2,3350,7.39E-05
day5,cn_ratio,2,3450,0.000147798
day5,cn_ratio,3,550,0.007772896
day5,cn_ratio,3,650,0.012031092
day5,cn_ratio,3,750,0.01507266
day5,cn_ratio,3,850,0.019871578
day5,cn_ratio,3,950,0.02358905
day5,cn_ratio,3,1050,0.024400135
day5,cn_ratio,3,1150,0.026563028
day5,cn_ratio,3,1250,0.032916526
day5,cn_ratio,3,1350,0.039607976
day5,cn_ratio,3,1450,0.04704292
day5,cn_ratio,3,1550,0.055153768
day5,cn_ratio,3,1650,0.061304495
day5,cn_ratio,3,1750,0.064954376
day5,cn_ratio,3,1850,0.066711727
day5,cn_ratio,3,1950,0.064886786
day5,cn_ratio,3,2050,0.065089557
day5,cn_ratio,3,2150,0.059006421
day5,cn_ratio,3,2250,0.054883407
day5,cn_ratio,3,2350,0.048056776
day5,cn_ratio,3,2450,0.041568097
day5,cn_ratio,3,2550,0.035147009
day5,cn_ratio,3,2650,0.031361947
day5,cn_ratio,3,2750,0.025887124
day5,cn_ratio,3,2850,0.019939169
day5,cn_ratio,3,2950,0.014937479
day5,cn_ratio,3,3050,0.0133829
